word,zipf,countable,uncountable,n_senses,first_gloss,variant_of,flag_reason,wikt_pos_list,wikt_dominant_pos,wikt_abbrev,corpus_n,corpus_dominant,corpus_noun_share,corpus_tag,corpus_name,likely_noun,name_suspect,pos_tags,lemma,pos_overlap,plural_of,verdict,scowl_verdict,scowl_size,scowl_pos,scowl_american_standard
overreach,2.64,1,1,2,"An act of extending or reaching over, especially if too far or too much; overextension.",,,verb:7;noun:2,verb,False,3,VERB,0.0,,False,True,False,NOUN;VERB,,"noun, also verb",,,nonnoun,50,v:1,True
myeloid,2.63,0,0,1,Such a stem cell,,,adj:2;noun:1,adj,False,1,ADJ,0.0,,False,True,False,,,,,,nonnoun,70,aj:1,True
universalist,2.63,0,0,1,A proponent of universalism.,,,adj:2;noun:1,adj,False,0,,,,False,True,False,,,,,,nonnoun,60,aj:1,True
mammary,2.63,0,0,1,Synonym of mamma (“a milk-secreting organ of a woman or a female animal”).,,,adj:1;noun:1,adj,False,0,,,,False,True,False,ADJ;NOUN,,"noun, also adjective",,,nonnoun,50,aj:1,True
proximate,2.62,0,0,1,A grammatical marker that distinguishes a relatively salient referent in a given context from a relatively non-salient (obviative) one.,,,adj:3;noun:1,adj,False,3,ADJ,0.0,,False,True,False,,,,,,nonnoun,60,aj:1,True
redraw,2.62,0,0,2,An update to the screen display.,,,noun:2;verb:1,noun,False,0,,,,False,True,False,NOUN;VERB,,"noun, also verb",,,nonnoun,35,v:3,True
foldable,2.62,0,0,2,Something that can be folded.,,,noun:2;adj:1,noun,False,1,ADJ,0.0,,False,True,False,,,adjective-like (morphology),,,nonnoun,70,aj:1,True
extrinsic,2.62,0,0,1,An external factor.,,,adj:2;noun:1,adj,False,1,ADJ,0.0,,False,True,False,ADJ;NOUN,,"noun, also adjective",,,nonnoun,50,aj:1,True
jell,2.62,0,0,1,Synonym of jelly or gel.,,,noun:1;verb:1,noun,False,0,,,,False,True,False,NOUN;VERB,,"noun, also verb",,,nonnoun,35,v:1,True
washy,2.61,0,0,1,"A wash, an act of washing.",,,adj:3;noun:1,adj,False,0,,,,False,True,False,,,,,,nonnoun,60,aj:1,True
multifamily,2.61,0,0,1,A residence intended for more than one family.,,,adj:1;noun:1,adj,False,1,ADJ,0.0,,False,True,False,,,adjective-like (morphology),,,nonnoun,60,aj:1,True
sucky,2.61,0,0,3,A pacifier.,,,adj:3;noun:3,adj,False,0,,,,False,True,False,,,,,,nonnoun,70,aj:1,True
antiretroviral,2.61,0,0,1,An agent that combats retroviruses.,,,adj:1;noun:1,adj,False,0,,,,False,True,False,,,adjective-like (morphology),,,nonnoun,70,aj:1,True
sociopathic,2.6,0,0,1,A sociopath.,,,adj:2;noun:1,adj,False,0,,,,False,True,False,,,adjective-like (morphology),,,nonnoun,70,aj:1,True
headbutt,2.6,0,0,1,"A sharp blow delivered by driving the head into an opponent or object, generally by lowering the head and charging forward or by rapidly tilting the head backward and then forward.",,,noun:1;verb:1,noun,False,0,,,,False,True,False,,,,,,nonnoun,60,v:1,True
piezoelectric,2.6,0,0,1,A piezoelectric material or device.,,,adj:1;noun:1,adj,False,3,ADJ,0.0,,False,True,False,,,adjective-like (morphology),,,nonnoun,60,aj:1,True
costal,2.6,0,0,1,"Synonym of saco, a historical Spanish unit of dry measure, equivalent to about 111 L",,,adj:3;noun:1,adj,False,0,,,,False,True,False,,,adjective-like (morphology),,,nonnoun,70,aj:1,True
percussive,2.6,0,0,1,A percussive phone.,,,adj:2;noun:1,adj,False,7,ADJ,0.0,usually adjective (corpus),False,True,False,,,adjective-like (morphology),,,nonnoun,60,aj:1,True
biologic,2.59,0,0,1,"An extremely complex drug, vaccine or antitoxin that is made from a living organism, or from products of a living organism.",,,adj:1;noun:1,adj,False,1,ADJ,0.0,,False,True,False,,,adjective-like (morphology),,,nonnoun,60,aj:1,True
predate,2.59,0,0,1,"A publication, such as a newspaper or magazine, that is issued with a printed date later than the date of issue.",,,verb:3;noun:1,verb,False,0,,,,False,True,False,NOUN;VERB,,"noun, also verb",,,nonnoun,40,v:1,True
snide,2.59,1,1,2,"An underhanded, tricky person given to sharp practice; a sharper; a cheat.",,,adj:2;noun:2,adj,False,0,,,,False,True,False,,,,,,nonnoun,35,aj:2,True
crummy,2.58,0,0,2,"A small van, bus, or railway car used to transport loggers or other resource workers to and from the worksite.",,,adj:3;noun:2,adj,False,3,ADJ,0.0,,False,True,False,,,,,,nonnoun,35,aj:1,True
corky,2.58,0,0,1,"A deep bruise, usually on the leg or buttock, caused by a blow; a haematoma.",,,adj:2;noun:1,adj,False,0,,,,False,True,False,,,,,,nonnoun,70,aj:1,True
droll,2.58,0,0,2,"A funny person; a buffoon, a wag.",,,noun:2;adj:1;verb:1,noun,False,0,,,,False,True,False,ADJ;NOUN,,"noun, also adjective",,,nonnoun,35,aj:2,True
ovate,2.58,0,0,4,An egg-shaped hand axe.,,,noun:4;adj:2;verb:2,noun,False,0,,,,False,True,False,,,,,,nonnoun,60,aj:1,True
perceptible,2.57,0,0,1,Anything that can be perceived.,,,adj:1;noun:1,adj,False,1,ADJ,0.0,,False,True,False,,,adjective-like (morphology),,,nonnoun,35,aj:1,True
skydive,2.57,0,0,1,An instance of skydiving.,,,noun:1;verb:1,noun,False,0,,,,False,True,False,,,adjective-like (morphology),,,nonnoun,60,v:2,True
hocus,2.57,0,0,4,"A magician, illusionist, one who practises sleight of hand.",,,noun:4;verb:4,noun,False,0,,,,False,True,False,,,,,,nonnoun,70,v:1,True
multicast,2.57,0,0,1,The simultaneous transmission of data to several destinations on a network.,,,adj:1;noun:1,adj,False,0,,,,False,True,False,,,,,,nonnoun,70,v:1,True
saturate,2.57,0,0,1,"Something saturated, especially a saturated fat.",,,adj:6;verb:4;noun:1,adj,False,1,VERB,0.0,,False,True,False,NOUN;VERB,,"noun, also verb",,,nonnoun,35,v:2,True
extractive,2.57,0,0,2,Something that may be extracted,,,adj:3;noun:2,adj,False,4,ADJ,0.0,,False,True,False,,,adjective-like (morphology),,,nonnoun,60,aj:1,True
ultimo,2.57,0,0,1,"= The ultimum; the final, ultimate point of a sequence.",,,adj:1;adv:1;noun:1,adj,False,0,,,,False,True,False,,,,,,nonnoun,60,aj:1,True
kaboom,2.56,0,0,2,"The sound of an explosion, typically seen in comic strips or heard in a light-hearted conversation.",,,noun:2;intj:1;verb:1,noun,False,1,OTHER,0.0,,False,True,False,,,,,,nonnoun,50,i:1,True
distributive,2.55,0,0,3,distributive case,,,adj:5;noun:3,adj,False,2,ADJ,0.0,,False,True,False,ADJ;NOUN,,"noun, also adjective",,,nonnoun,50,aj:1,True
recalcitrant,2.55,0,0,1,A person who is recalcitrant.,,,adj:4;noun:1,adj,False,2,ADJ,0.0,,False,True,False,ADJ;NOUN,,"noun, also adjective",,,nonnoun,35,aj:1,True
bendy,2.55,0,1,3,A bendy bus.,bhindi,,adj:5;noun:3,adj,False,0,,,,False,True,False,,,,,,nonnoun,60,aj:2,True
pleural,2.55,0,0,1,An internal segment of the turtle carapace.,,,adj:2;noun:1,adj,False,6,ADJ,0.0,usually adjective (corpus),False,True,False,,,adjective-like (morphology),,,nonnoun,70,aj:1,True
electromechanical,2.55,0,0,1,An electromechanical component or device.,,,adj:1;noun:1,adj,False,0,,,,False,True,False,,,adjective-like (morphology),,,nonnoun,70,aj:1,True
immunological,2.55,0,0,1,Any drug used to treat the immune system.,,,adj:1;noun:1,adj,False,0,,,,False,True,False,,,adjective-like (morphology),,,nonnoun,60,aj:1,True
hammy,2.55,0,0,3,The hamstring.,,,noun:3;adj:2,noun,False,1,NOUN,1.0,,False,True,False,,,,,,nonnoun,60,aj:2,True
