word,zipf,n_senses,first_gloss
burnie,2.54,1,A small brook.
queenie,2.54,2,An effeminate man; a male homosexual (especially as a term of address).
thalia,2.54,1,Any of the genus Thalia of tropical plants found in aquatic or marshy habitats.
deliberative,2.53,2,"A discourse in which a question is discussed, or weighed and examined."
wayback,2.53,3,A very remote time or place.
carle,2.53,1,peasant; fellow
simran,2.53,1,"The continuous remembrance of the finest aspect of the self, or of God, sometimes achieved by repeating a mantra."
cavan,2.53,3,A unit of dry capacity approximately equivalent to 2.3 US bushels.
rimmer,2.53,4,"An implement for cutting, trimming, or ornamenting the rim of anything, as the edges of pies, etc."
quintus,2.53,1,"The fifth voice in addition to the superius, altus, tenor and bassus in a piece of vocal polyphony."
rebalancing,2.53,1,The act or process of restoring balance.
karam,2.53,1,The tree Adina cordifolia.
penner,2.52,2,One who pens; a writer.
inkjet,2.52,2,"A device, particularly one used in the printing of documents, which propels tiny droplets of ink to the paper."
gaslighting,2.52,2,Illumination by burning gas.
yatra,2.52,1,A Hindu pilgrimage.
darshan,2.52,3,"Hierophany, theophany; being in the presence of the divine or holy (as a person or object)."
acharya,2.52,2,"an individual who practices or is knowledgeable on any of the prevalent disciplines of customs, learning, rituals, arts, traditions, schools etc., especially one imparting them into pupils."
nasri,2.52,1,"A coin formerly used as a currency unit in Tunisia from medieval to Ottoman times, set at one point as one eightieth of a sultani."
oliphant,2.52,2,An elephant.
timeslot,2.51,1,A conventionally defined time interval in a schedule.
bifida,2.51,1,spina bifida
enduro,2.51,3,"A motorcycle sport run on predominantly off-road courses, with many obstacles and challenges."
governorate,2.51,1,The territory governed by a governor; a province.
shura,2.51,1,A body that provides counsel to a leader.
machi,2.51,1,A traditional healer and religious leader in the Mapuche culture of Chile and Argentina.
inclusivity,2.51,1,The quality of being inclusive; inclusiveness.
wining,2.51,1,A session of drinking wine socially.
diller,2.51,1,Only used in killer diller
dimethyl,2.51,1,Two methyl groups in a molecule.
femdom,2.51,3,Female domination; a sexual practice in which women dominate men or other people.
dogecoin,2.51,2,"A cryptocurrency featuring the Shiba Inu from the ""doge"" meme as its logo."
stephane,2.51,1,An Ancient Greek headdress like a coronet.
concours,2.51,1,"A competitive examination, especially in medicine."
grogan,2.51,1,A piece of excrement. A turd.
pardo,2.51,1,"A former money of account in Portuguese India, one twentieth of a rupia."
tobruk,2.51,1,a type of defensive fighting position originally employed by the Axis forces during their North African campaign.
omnium,2.51,2,"A multiple race event in track cycling. Historically the omnium has had a variety of formats. Currently it consists of the following six events: flying lap, points race, elimination, individual pursui"
numero,2.5,1,The sign ⟨ № ⟩.
downforce,2.5,1,Any force (produced by aerodynamics or gravity etc) that acts downwards
preform,2.5,3,An object that has undergone preliminary shaping but is not yet in its final form.
bannerman,2.5,4,"A person assigned to carry the colours, standards or guidons of a military unit."
bajaj,2.5,1,A tuk-tuk.
phaser,2.5,4,An electronic device that produces special effects on the sound produced by an electric guitar etc.
skelter,2.5,1,A gravity-based device used to store and rotate round food and drink in a first-in-first-out manner.
blogpost,2.5,1,An entry posted to a blog.
mirna,2.5,1,microRNA
playmaking,2.5,1,The initiation of offensive play with the intent of scoring a goal (or the equivalent)
ghulam,2.49,2,A personal guard to the shah of Persia.
sippy,2.49,1,A little sip; less than a serving of some particular drink
rodham,2.49,1,A bank of silt on the bed of a dried-up river
submachine,2.49,2,A machine forming part of a larger machine.
neuroimaging,2.49,1,"The generation of images showing activity in the nervous system, usually and especially brain activity."
agassi,2.49,1,"Miss, a young Korean, usually unmarried woman. Used as a form of address"
perrier,2.49,1,A short mortar used for throwing stone shot.
westland,2.49,1,The western part of a geographic area; a land lying to the west.
sangha,2.49,2,"The community of all followers of the Buddha; the ecclesia in which the devout take refuge; those who have ""entered the stream"" towards nirvana; one of the Three Jewels of Buddhism."
contessa,2.49,1,"A countess, often specifically an Italian countess"
esper,2.49,2,A person who practices the development of psychic ability.
stoneman,2.48,1,A miner who makes excavations in hard strata other than coal.
microgravity,2.48,1,"A state of very low acceleration between two free floating objects, as found in sustained freefall, in orbit, or in interstellar space."
witney,2.48,1,A kind of woollen cloth.
ponting,2.48,1,the act of posing until nearly frozen in all sorts of uncomfortable positions.
treviso,2.48,1,"A certain mild variety of radicchio, a type of chicory"
bartending,2.48,1,"The craft of mixing drinks, making cocktails, and related skills of tending a bar."
killeen,2.48,1,An ancient Irish burial ground.
bushfire,2.48,1,An uncontrolled fire in a wooded or grassy area; a wildfire.
ayahuasca,2.48,2,"A giant vine native to South America (especially Banisteriopsis caapi), noted for its psychotropic properties."
celestine,2.48,2,A heavenly being: an angel or other resident of Heaven.
gundy,2.48,2,A front claw of a crab.
padang,2.48,1,Malaysian grassland
araki,2.48,1,A date liquor distilled illegally in Sudan.
kalam,2.48,1,Speculative theology.
backlight,2.48,5,Light shining from a source behind the object of interest or attention.
swisher,2.48,3,One who swishes something.
decoupling,2.48,3,The act or process by which something is decoupled.
victimhood,2.48,1,The state or perception of being a victim.
kokoro,2.48,1,A heart.
ananda,2.48,1,The eternal bliss that accompanies the ending of the rebirth cycle.
zahir,2.48,1,The external or apparent meaning of the Qur'an
katara,2.47,1,"An Indian push dagger with an H-shaped handle, used predominantly ceremonially, and rarely as a weapon."
triomphe,2.47,1,A card game dating from the late 15th century.
sharknado,2.47,1,A tornado containing sharks.
tracklist,2.47,1,"A tracklisting; a list of tracks appearing on an album, EP, LP etc."
pradhan,2.47,1,"An official in parts of India, equivalent to vizier in rank and function."
emacs,2.47,1,Any implementation or reimplementation of Emacs.
estadio,2.47,1,"A traditional Portuguese unit of distance, variously equivalent to about 185.2, 231.5, or 257.2 m depending on the number of leagues per equatorial degree."
rollie,2.47,1,A cigarette rolled by hand.
busking,2.47,1,Clothing; dress; ornaments worn.
caerphilly,2.47,1,"A light-colored, crumbly cheese made from cow's milk."
presidente,2.47,1,"A Cuban cocktail made from rum, curaçao, dry vermouth, and grenadine that is stirred or shaken with cracked ice."
letty,2.47,1,Only used in scarper the letty
fletch,2.46,2,"The vane toward the back of an arrow, used to stabilise the arrow during flight."
telematics,2.46,2,"The science of sending, receiving and storing information by means of telecommunication devices."
fansite,2.46,1,"A website aimed at fans of something, such as a singer or football team."
slurping,2.46,1,A sound or motion that slurps.
morro,2.46,1,A round hill or point of land.
autophagy,2.46,3,"The process of self-digestion by a cell through the action of enzymes originating within the same cell, and often a defensive or self-preservation measure."
zebrafish,2.46,3,"A small striped fish of species Danio rerio, originally from India but now common as an aquarium fish and as a subject of genetic experiments."
palmas,2.46,1,Clapping of the hands.
ringwood,2.46,1,"An Australian tree, Syzygium anisatum."
asperger,2.46,2,An aspergillum.
estado,2.46,1,"A traditional Spanish unit of length, equivalent to about 1.67 m."
winky,2.46,2,"An emoticon or smiley that shows a winking face, such as ;-) or 😉."
colada,2.46,1,piña colada
gault,2.46,1,"A type of stiff, blue clay, sometimes used for making bricks."
iyengar,2.46,1,A form of hatha (yoga) that focuses on precision in asana and pranayama
shand,2.46,2,Shame; scandal; disgrace.
alcantara,2.45,1,"A suede-like synthetic textile, composed of polyester and polyurethane."
knockin,2.45,1,The insertion of a cDNA sequence at a particular locus in an organism's chromosome
wellies,2.45,1,Wellington boots.
shunting,2.45,3,"The connection of an electrical component in parallel with another, the current being divided between them."
adorno,2.45,1,"A clay ornament attached to a piece of pottery, usually at the rim."
erectus,2.45,1,Homo erectus.
chronos,2.45,1,"A steady, quantifiable beat or rhythm; measured or objective time."
boykin,2.45,1,A little boy.
soylent,2.45,1,"An undesirable, lackluster, and artificial foodstuff, as a substitute for real meat."
brandis,2.45,1,A triangular fire stand; trivet.
speight,2.45,1,A woodpecker.
morgenstern,2.45,1,morning star (spiked weapon)
rinpoche,2.45,1,"A title warranting great respect, prefixed to the names of Tibetan Buddhists."
distro,2.45,5,"A set of software components, often open source, that have been packaged into a larger product or component for distribution to end-users."
blackfoot,2.45,1,A tropical American bush of the genus Melampodium.
thumper,2.45,9,One who thumps.
cajon,2.45,2,"A large valley surrounded by mountains of considerable height (especially in Latin America), through which a river runs."
gamepad,2.45,1,A type of game controller held in both hands and controlled with the thumbs.
aliphatic,2.44,2,A compound of this type.
shastri,2.44,1,Someone who teaches the shastras.
darkside,2.44,5,"The side of something that is in darkness or unlit, or has less illumination."
mangan,2.44,1,"A win achieving five han, or three/four han with the required number of fu; worth 12,000 points if the winning player is on the East (dealer) side or 8,000 points otherwise."
permaculture,2.44,2,Any system of sustainable agriculture that renews natural resources and enriches local ecosystems.
superbike,2.44,1,"A super sport bike with a large engine, usually between 800 and 1200 cc"
beatdown,2.44,3,A severe beating.
coochie,2.44,3,"The hootchy-kootchy, a type of erotic dance."
ashfield,2.44,1,A field that is covered in ash.
pally,2.44,3,An affectionate term of address.
mukhtar,2.44,3,"A minor official—usually overseeing a village or town—in many Arab countries and (historical) in the Ottoman Empire and its successor states, including Turkey, Northern Cyprus, and formerly Albania."
syrah,2.44,2,"A dark-skinned variety of grape, used to produce red wines."
freemason,2.43,1,A member of a guild of skilled itinerant masons during the Middle Ages and early modern times.
propofol,2.43,1,A sedating and hypnotic agent C₁₂H₁₈O administered intravenously to induce and maintain anesthesia or sedation.
maquis,2.43,2,Dense Mediterranean coastal scrub.
cerevisiae,2.43,1,"The species Saccharomyces cerevisiae, or brewer's yeast."
goldin,2.43,1,"The golding, or corn marigold."
birthdate,2.43,1,"The year, month, and day of someone's birth; a date of birth."
