word,zipf,countable,uncountable,n_senses,first_gloss
woo,3.87,0,0,1,"Alternative form of woo woo (“esoteric, pseudoscientific phenomena”)."
ahh,3.86,0,0,2,Alternative spelling of aah.
ivan,3.86,0,0,1,Alternative form of iwan.
baptist,3.86,0,0,1,A person who baptizes.
sync,3.86,1,1,3,Clipping of synchronization or synchrony.
vic,3.84,0,0,1,A victim of a homicide.
vii,3.84,0,0,1,Initialism of verb inanimate intransitive.
bb,3.84,0,0,2,Alternative spelling of BB.
ce,3.83,0,0,1,Alternative form of cee (“the letter C”).
bp,3.83,0,0,3,Initialism of base pair.
dana,3.82,0,1,1,"The virtue of generosity or giving, a form of alms, in Indian philosophy."
sympathetic,3.81,0,0,1,A sympathetic nerve.
maggie,3.8,0,0,2,"Any of several kinds of bird in the family Corvidae, especially Pica pica."
burton,3.8,0,0,2,"An arrangement of blocks and pulleys, especially for tightening rigging on a ship."
mel,3.8,0,1,2,A unit of pitch on a scale of pitches perceived by listeners to be equally spaced from one another.
cp,3.79,0,0,2,Abbreviation of codepage.
aaa,3.77,0,0,6,Initialism of abdominal aortic aneurysm.
ky,3.77,0,1,2,Alternative form of kye: plural of cow.
vip,3.76,0,0,1,Alternative letter-case form of VIP (“very important person”).
ooh,3.76,0,0,1,An exclamation of ooh.
rm,3.75,0,0,3,Initialism of right margin.
rita,3.75,0,1,2,Alternative form of rta (“Vedic principle”).
naive,3.75,0,0,1,A naive person; a greenhorn.
nt,3.75,0,0,2,Alternative form of n/t (“no text”).
meta,3.74,1,0,7,Clipping of metagame.
xxx,3.73,0,1,1,"An abbreviation for kisses, usually placed at the end of a letter or text message, often alongside ooo (hugs)."
oops,3.73,0,0,1,A minor mistake or unforeseen difficulty.
uc,3.72,0,1,1,Initialism of upper case.
og,3.72,0,0,1,Initialism of own goal.
sm,3.71,0,0,1,Initialism of slip marker.
dept,3.71,0,0,1,Alternative spelling of dept..
oi,3.71,1,1,2,An exclamation of 'oi'.
ipod,3.69,0,0,1,Misspelling of iPod.
az,3.68,0,1,2,Alternative form of az. (“azure”).
heh,3.67,0,0,1,"The fifth letter of many Semitic alphabets (Phoenician 𐤄, Aramaic 𐡄, Hebrew ה, Syriac ܗ, Arabic ه, and others)."
hal,3.67,0,0,1,"A special temporary state of consciousness, generally understood to be the product of a Sufi's spiritual practices while on his way toward God."
acc,3.67,0,0,2,Abbreviation of accusative case
lg,3.67,0,0,2,Initialism of landing gear.
tangible,3.66,0,0,2,A physical object; something that can be touched.
bbq,3.66,0,0,1,Alternative letter-case form of BBQ.
alec,3.65,1,1,2,"An anchovy or herring, especially pickled or dried."
frankie,3.65,0,0,2,An Indian snack resembling a burrito.
hc,3.65,0,0,1,Alternative letter-case form of HC (“headcanon”).
ow,3.64,0,0,1,An uttering of an 'ow'.
romney,3.64,1,1,1,Alternative form of rumney.
hydro,3.63,1,1,9,Clipping of hydropower (“hydroelectric power”).
noel,3.63,0,0,1,"A kind of hymn, or canticle, of mediaeval origin, sung in honor of the birth of Christ; a Christmas carol."
saunders,3.63,0,1,1,Alternative form of sanders (“sandalwood”).
yuri,3.62,0,1,1,A narrative or visual work featuring a romantic or sexual relationship between women.
hath,3.62,0,0,1,Alternative form of hauth (“unit of measure”).
ay,3.61,0,0,2,Alternative spelling of aye (“yes”).
barton,3.61,0,0,3,A farmyard.
pam,3.6,1,1,5,The jack of clubs in loo played with hands of 5 cards.
lawson,3.6,0,0,1,a chemical and dye found in henna (Lawsonia inermis)
gaga,3.59,0,1,1,Alternative form of ga-ga (“game resembling dodgeball”).
kickstarter,3.59,0,0,1,Alternative form of kick-starter.
gc,3.57,0,0,1,Initialism of group chat.
hoover,3.56,0,0,1,"A vacuum cleaner, irrespective of brand."
ouch,3.56,0,0,2,Something that causes discomfort or pain.
mister,3.56,0,0,7,"Alternative spelling of Mister, especially when used as a form of address without a name."
rf,3.55,0,0,1,Initialism of radio frequency.
poo,3.54,1,1,8,"Alternative spelling of pooh: an instance of saying ""poo""."
hah,3.54,0,0,1,Alternative form of heh (“Semitic letter”).
barney,3.54,0,0,8,"A lark, a romp, some fun."
ul,3.54,0,0,1,Alternative form of UL (“upload”).
chevy,3.53,1,1,3,A hunt or pursuit; a chase.
morse,3.52,0,0,2,"A clasp or fastening used to fasten a cope in the front, usually decorative."
lc,3.52,0,1,1,Initialism of lower case.
pb,3.52,0,0,1,Abbreviation of power brakes.
calcutta,3.52,0,0,1,A form of auction in which people invest in a player's success
yorker,3.49,0,0,1,A ball bowled so as to bounce at or near the batsman's popping crease.
shi,3.46,0,1,2,Abbreviation of shibire.
wah,3.45,0,0,2,The red panda.
nv,3.45,0,1,1,Initialism of novel/new variant.
gg,3.44,0,0,1,"Loss, defeat, game over."
laurence,3.44,0,0,1,Synonym of lowrie.
pf,3.44,0,0,1,Initialism of power factor.
qc,3.44,0,1,1,Abbreviation of quaternionic contact.
tp,3.43,0,0,2,Initialism of toilet paper.
