variant,canonical,verdict,variant_verdict,canonical_verdict,note,dist,plural_side,v_zipf,c_zipf,v_pos,c_pos,v_wikt,c_wikt,v_corpus,c_corpus,v_gloss,c_gloss
dork,dirk,unrelated,,,,1,,3.1,3.43,,,noun:3;verb:2,noun:4;verb:2,,,"A quirky, silly or stupid, socially inept person, or one who is out of",A long Scottish dagger with a straight blade.
burrow,barrow,unrelated,,name,,1,,3.1,3.38,,,noun:3;verb:3,noun:8,NOUN:4,PROPN:1,"A tunnel or hole, or a system of tunnels, often as dug by a small crea",A mountain.
privatisation,privatization,variant,,,,1,,3.1,3.27,,,noun:1,noun:2,,NOUN:14,Non-Oxford British English standard spelling of privatization.,The transfer of a company or organization from government to private o
tort,tortoise,unrelated,,,,4,,3.1,3.26,,,adj:4;noun:4,noun:2,NOUN:4,NOUN:3,"A wrongful act, whether intentional or negligent, regarded as non-crim","Any of various land-dwelling reptiles, of the family Testudinidae (chi"
mow,mew,unrelated,,,,1,,3.1,3.0,,,noun:6;verb:4,noun:9;verb:7;intj:3,,VERB:1,"The act of mowing (a garden, grass, etc.).","A gull, seagull."
clit,clitoris,unrelated,,,,4,,3.1,2.95,,,noun:3;verb:2,noun:2,,,Clipping of clitoris.,A sensitive elongated erectile sex organ at the anterior part of the v
macintosh,mackintosh,variant,name,,,1,,3.1,2.93,,,noun:1,noun:3,PROPN:3,NOUN:1,Alternative form of mackintosh (“a raincoat”).,A waterproof long coat made of rubberized cloth.
centerpiece,centrepiece,reverse,,,,2,,3.1,2.64,,,noun:1,noun:2,NOUN:1,,US standard spelling of centrepiece.,"An ornament to be placed in the centre, as of a table, ceiling, etc."
skunk,skunkweed,unrelated,,,,4,,3.1,0.0,,,noun:8;verb:4,noun:2,,,"Any of various small mammals of the subfamily Mephitinae, native to No","Any of several American plants that have an offensive odour, but espec"
yoke,yolk,unrelated,,,,2,,3.09,3.04,,,noun:27;verb:10,noun:2;verb:1,NOUN:3,NOUN:1,Senses relating to a frame around the neck.,"The yellow, spherical part of an egg that is surrounded by the white a"
pane,peen,unrelated,,,,3,,3.09,2.34,,,noun:10;verb:1,noun:2;verb:1,NOUN:3,,An individual sheet of glass or other transparent material in a window,The (often spherical) end of the head of a hammer opposite the main ha
plough,snowplough,unrelated,,,,4,,3.09,1.4,,,verb:10;noun:8,noun:1;verb:1,,,A device pulled through the ground in order to break it open into furr,Alternative form of snowplow.
tact,tactic,unrelated,,,,2,,3.08,3.71,,,noun:6;verb:1,noun:3;adj:2,NOUN:6,NOUN:5,Sensitive mental touch; special skill or faculty; keen perception or d,"A maneuver, or action calculated to achieve some end."
medallist,medalist,variant,,,,1,,3.08,3.22,,,noun:1,noun:2,,,Alternative spelling of medalist.,"An engraver, designer or maker of medals."
marge,margarine,unrelated,name,,,4,,3.08,2.83,,,noun:3;verb:1,noun:2;verb:1,PROPN:1,,Margin; edge; brink or verge.,"A spread, manufactured from a blend of vegetable oils (some of which a"
rigor,rigour,reverse,,,,1,,3.07,2.67,,,noun:2,noun:7,NOUN:1,,US spelling of rigour.,Severity or strictness.
fuzz,fuss,unrelated,,,,2,,3.06,3.62,,,noun:8;verb:5,verb:6;noun:3,NOUN:3,NOUN:4,A frizzy mass of hair or fibre.,"Excessive activity, worry, bother, or talk about something."
minion,minium,unrelated,,,,2,,3.05,1.51,,,noun:6;adj:1,noun:2,,,"A loyal servant of another, usually a more powerful being.","Cinnabar, especially when used as a pigment; vermilion."
fiberglass,fibreglass,variant,,,,2,,3.04,2.53,,,noun:1;verb:1,noun:3;verb:1,NOUN:2,,Alternative form of fibreglass.,Silica based glass extruded into fibers that possess a length at least
kos,coss,variant,,,,2,,3.04,2.04,,,noun:1,adj:1;noun:1,,,Alternative spelling of coss.,"A measure of distance, varying from one and a quarter to two and a hal"
cob,cobnut,unrelated,,,,3,,3.04,0.0,,,noun:22;verb:8,noun:3,,,A corncob.,A nut of a common hazel (Corylus avellana); hazelnut.
toon,town,unrelated,,,,1,,3.03,5.24,,,noun:7,noun:11,,NOUN:235,"A cartoon, especially an animated television show.","A settlement; an area with residential districts, shops and amenities,"
authorisation,authorization,variant,,,,1,,3.03,3.74,,,noun:1,noun:4,,NOUN:7,Non-Oxford British English standard spelling of authorization.,An act of authorizing.
manoeuvre,maneuver,variant,,,,3,,3.03,3.53,,,noun:1;verb:1,noun:5;verb:3,,NOUN:7,Commonwealth standard spelling of maneuver.,"The planned movement of troops, vehicles etc.; a strategic repositioni"
puss,pus,plural,,,,1,variant,3.03,3.02,,,noun:9,noun:1;verb:1,,,A cat.,A whitish-yellow or yellow substance composed primarily of dead white 
vigor,vigour,reverse,,,,1,,3.03,2.87,,,noun:1,noun:3,NOUN:14,,Alternative form of vigour.,"Active strength or force of body or mind; a capacity for exertion, phy"
vapour,vapor,variant,,,,1,,3.02,3.56,,,noun:1;verb:1,noun:6;verb:5,,NOUN:12,British standard spelling of vapor.,"Cloudy diffused matter such as mist, steam or fumes suspended in the a"
diarrhoea,diarrhea,variant,,,,1,,3.02,3.55,,,noun:1,noun:2,NOUN:3,NOUN:8,Alternative spelling of diarrhea.,A gastrointestinal disorder characterized by frequent and very soft or
tranquility,tranquillity,reverse,,,,1,,3.02,2.76,,,noun:1,noun:1,NOUN:5,NOUN:1,American standard spelling of tranquillity.,"The state of being tranquil; peacefulness, the absence of disturbance "
yoghurt,yogurt,variant,,,,1,,3.01,3.63,,,noun:1,noun:2,,,Alternative spelling of yogurt.,"A milk-based product stiffened by a bacterium-aided curdling process, "
gangsta,gangster,variant,,,,2,,3.01,3.55,,,adj:1;noun:1,adj:2;noun:2;verb:1,,NOUN:2,"Pronunciation spelling of gangster, representing African-American Vern",A member of a criminal or street gang.
hippy,hippie,variant,,,,2,,3.0,3.36,,,adj:1;noun:1,noun:5;adj:2,,,Alternative spelling of hippie.,A teenager who imitated the beatniks.
doggie,doggy,variant,,,,2,,3.0,3.33,,,noun:1,noun:4;adj:3;adv:1,,,Alternative spelling of doggy.,"A dog, especially a small one."
czar,tsar,variant,,name,,2,,3.0,3.16,,,noun:2,noun:2,NOUN:3,PROPN:1,Alternative spelling of tsar (especially common in American English),An emperor of Russia (1547 to 1917) and of some South Slavic states.
looney,loony,variant,,,,1,,3.0,2.78,,,adj:1;noun:1,adj:2;noun:1,,ADJ:1,Alternative spelling of loony.,An insane or very foolish person.
loon,balloon,unrelated,,,,3,,2.99,3.9,,,noun:9,noun:14;verb:6,NOUN:2,NOUN:14,A crazy or deranged person; a lunatic.,"An inflatable buoyant object, often (but not necessarily) round and fl"
calvary,cavalry,unrelated,name,,,2,,2.99,3.8,,,noun:5,noun:4,PROPN:2,NOUN:26,A life-size representation of the crucifixion of Jesus Christ on a pie,The military arm of service that fights while riding horses.
lira,lyra,unrelated,,name,,1,,2.99,2.85,,,noun:7,noun:4,NOUN:1,,The basic unit of currency in Turkey.,The middle portion of the ventral surface of the fornix of the brain.
grandad,granddad,variant,,,,1,,2.99,2.68,,,noun:1,noun:2,,,Alternative spelling of granddad.,grandfather
cask,casque,unrelated,name,,,3,,2.99,1.65,,,noun:4;verb:1,noun:3,PROPN:3,,"A large barrel for the storage of liquid, especially of alcoholic drin",A helmet.
ley,lea,unrelated,,,,1,,2.98,3.57,,,noun:5;adj:2,noun:3,,,Arable land used temporarily for hay or grazing.,"An open field, meadow, pasture."
savor,savour,reverse,,,,1,,2.98,2.78,,,noun:1;verb:1,verb:18;noun:9,NOUN:1,,Alternative spelling of savour.,An aroma or smell.
tarp,tarpaulin,unrelated,,,,4,,2.98,2.38,,,noun:1;verb:1,noun:4;verb:1,,NOUN:1,Clipping of tarpaulin (“covering”).,"A heavy, waterproof sheet of material, often cloth or plastic sheet, u"
baritone,barytone,unrelated,,,,1,,2.98,1.02,,,noun:5,adj:3;noun:3,NOUN:5,,The male voice between tenor and bass.,A word that is not accented on the ultimate syllable.
modernisation,modernization,variant,,,,1,,2.97,3.36,,,noun:1,noun:1,,NOUN:17,Alternative spelling of modernization.,"The act, process, or result of modernizing."
doge,doggy,unrelated,,,,2,,2.97,3.33,,,noun:3;verb:1,noun:4;adj:3;adv:1,,,The chief magistrate in the republics of Venice and Genoa.,"A dog, especially a small one."
lustre,luster,variant,,,,2,,2.97,2.96,,,noun:3;verb:1,noun:17;verb:7,NOUN:2,NOUN:3,"UK standard spelling of luster (shine, etc.).","The ability or condition of shining with reflected light; sheen, gleam"
caddy,caddie,unrelated,name,,,2,,2.96,2.6,,,noun:6;verb:1,noun:5;verb:1,PROPN:1,,A small box or tin (can) with a lid for holding dried tea leaves used ,Synonym of cadet (“a gentleman (often a younger son from a noble famil
naught,nought,unrelated,,,,1,,2.96,2.51,,,noun:2;num:1;pron:1,noun:3;adj:2;adv:2;p,OTHER:2,,Nothingness.,A thing or person of no worth or value; nil.
luster,lusterware,unrelated,,,,4,,2.96,0.0,,,noun:17;verb:7,noun:1,NOUN:3,,"The ability or condition of shining with reflected light; sheen, gleam",A type of pottery having an iridescent metallic glaze
vac,vacation,unrelated,,,,4,,2.95,4.4,,,noun:4;verb:1,noun:7;verb:1,,NOUN:55,Clipping of vacation (“extended period of time away from work or schoo,An extended trip or journey away from home for rest or pleasure.
perky,percy,variant,,name,,1,,2.95,3.66,ADJ,,adj:3;noun:1,noun:1,ADJ:2,PROPN:2,Alternative spelling of percy (“Percocet pill”).,A unit of Percocet.
llama,lama,unrelated,,name,,1,,2.95,3.48,,,noun:3,noun:3,,PROPN:5,"A South American mammal of the camel family, Lama glama, used as a dom",A master of Tibetan Buddhism.
flack,flak,unrelated,,,,1,,2.95,3.06,,,verb:4;noun:2,noun:4,,,"A publicist, a publicity agent.",Ground-based anti-aircraft guns firing explosive shells.
chimp,chimpanzee,unrelated,,,,4,,2.95,2.96,,,verb:3;noun:2,noun:2,,,Clipping of chimpanzee.,"Pan troglodytes, a species of great ape native to the savannas and for"
honk,honky,unrelated,,,,1,,2.95,2.79,,,verb:6;noun:4;intj:1,noun:2,,,The harsh note produced by a typical car horn.,A white (Caucasian) person.
adage,adagio,unrelated,,,,2,,2.95,2.5,,,noun:3,noun:3;adj:1;adv:1,NOUN:3,NOUN:3,An old saying which has obtained credit by long use.,"A tempo mark directing that a passage is to be played rather slowly, l"
scepticism,skepticism,variant,,,,1,,2.94,3.4,,,noun:1,noun:5,NOUN:5,NOUN:9,Alternative spelling of skepticism.,The practice or philosophy of being a skeptic.
dickie,dicky,variant,,,,2,,2.94,2.73,,,noun:1,noun:16;adj:2,,,Alternative form of dicky.,A louse.
ambience,ambiance,variant,,,,1,,2.94,2.68,,,noun:1,noun:2,,NOUN:1,Alternative spelling of ambiance.,A particular mood or atmosphere of an environment or surrounding influ
dram,drachm,unrelated,,,,2,,2.94,1.19,,,noun:8;verb:2,noun:5,NOUN:1,,"A small unit of weight, variously:","A small unit of weight, variously:"
anaesthetic,anesthetic,variant,,,,1,,2.93,3.06,,,adj:1;noun:1,adj:2;noun:1,,NOUN:1,Alternative spelling of anesthetic.,A substance administered to reduce the perception of pain or to induce
pall,pawl,unrelated,,,,1,,2.93,1.94,,,noun:10;verb:4,noun:3;verb:1,NOUN:6,,Senses relating to cloth.,A pivoted catch designed to fall into a notch on a ratchet wheel so as
flier,flyer,variant,,,,1,,2.92,3.58,,,adj:1;noun:1;verb:1,noun:16;verb:2;adj:1,NOUN:3,NOUN:4,"Alternative form of flyer (more common in US, except in the sense of ""","That which flies, as a bird or insect."
plumb,plum,unrelated,,,,1,,2.92,3.55,,,verb:10;noun:4;adj:2,noun:20;adj:3;adv:1;,OTHER:5,NOUN:1,"A little mass of lead, or the like, attached to a line, and used by bu",The fruit and its tree.
argyll,argyle,variant,,,,1,,2.92,2.96,,,noun:1,noun:3,,,Alternative form of argyle.,a pattern of diamond-shaped areas on a solid background; used especial
bogey,bogie,unrelated,,,,2,,2.92,2.46,,,noun:15;verb:2,noun:11,NOUN:5,,"A ghost, goblin, or other hostile supernatural creature.","A low, hand-operated truck, generally with four wheels, used for trans"
mem,memory,unrelated,,,,3,,2.91,4.81,,,noun:6,noun:8,OTHER:1,NOUN:87,"The thirteenth letter of many Semitic alphabets/abjads (Phoenician, Ar",The ability of the brain to record information or impressions with the
bannister,banister,variant,,,,1,,2.91,2.52,,,noun:1,noun:2;verb:2,,NOUN:5,Alternative form of banister.,The rail on the side of a staircase that a person's hand holds onto.
esophagus,oesophagus,reverse,,,,1,,2.91,2.35,,,noun:1,noun:1,,,Alternative spelling of oesophagus.,The tube that carries food from the pharynx to the stomach.
nance,nancy,variant,,name,,1,,2.9,4.14,,,noun:2;verb:1,noun:1,,PROPN:8,Alternative form of nancy (“an effeminate male homosexual”).,"An effeminate man, especially a homosexual."
guerilla,guerrilla,variant,,,,1,,2.9,3.38,,,noun:1,noun:4;adj:3,NOUN:1,NOUN:18,"Obsolete spelling of guerrilla, now a misspelling.","A soldier in a small independent group, fighting against the governmen"
valence,valance,unrelated,,,,1,,2.9,2.45,,,noun:7,noun:6,,,"The combining capacity of an atom, functional group, or radical determ",A short curtain that usually hangs along the top edge of a window.
epicenter,epicentre,reverse,,,,2,,2.9,2.44,,,noun:1;verb:1,noun:4;verb:1,NOUN:11,,US standard spelling of epicentre.,"The point on the land or water surface directly above the focus, or hy"
dag,dog,unrelated,name,,,1,,2.89,5.1,,,noun:13;verb:5;intj:,noun:23;verb:7;adj:1,PROPN:7,NOUN:81,"A hanging end or shred, in particular a long pointed strip of cloth at",A mammal of the family Canidae:
characterisation,characterization,variant,,,,1,,2.89,3.53,,,noun:1,noun:1,,NOUN:8,Alternative form of characterization.,The act or process of characterizing.
dickey,dicky,variant,name,,,1,,2.89,2.73,,,adj:1;noun:1,noun:16;adj:2,PROPN:3,,Alternative form of dicky.,A louse.
centimeter,centimetre,reverse,,,,2,,2.89,2.55,,,noun:1,noun:1,NOUN:3,,"(Canadian spelling, alternative) Alternative form of centimetre.",An SI unit of length equal to 10⁻² metres. Symbol: cm
putty,puttee,unrelated,,,,2,,2.89,0.0,,,noun:5;adj:1;verb:1,noun:3,NOUN:2,,"A form of cement, made from linseed oil and whiting, used to fixate pa","A strip of cloth wound round the leg, worn for protection or support b"
reorganisation,reorganization,variant,,,,1,,2.88,3.33,,,noun:1,noun:2,,NOUN:46,Alternative spelling of reorganization.,The act or process of rearranging. See reorganize.
imposter,impostor,variant,,,,1,,2.88,2.8,,,noun:1,noun:3,,,Alternative spelling of impostor.,Someone who attempts to deceive by using an assumed name or identity.
dishonor,dishonour,reverse,,,,1,,2.88,2.71,,,noun:1;verb:1,noun:3;verb:3,NOUN:2,,American standard spelling of dishonour.,Shame or disgrace.
prawn,porn,unrelated,,,,3,,2.87,4.5,,,noun:5;verb:1,noun:4,,,A crustacean of the suborder Dendrobranchiata.,Pornography.
lx,linguistics,unrelated,,,,4,,2.87,3.43,,,noun:1,noun:1,,NOUN:5,Abbreviation of linguistics.,The systematic and scholarly study of language.
gopher,gofer,unrelated,,,,2,,2.87,1.69,,,noun:6,noun:1,,,"A small burrowing rodent native to North and Central America, especial",A worker who runs errands; an errand boy.
fertiliser,fertilizer,variant,,,,1,,2.86,3.42,,,noun:1,noun:3,,NOUN:8,Alternative spelling of fertilizer.,A natural substance that is used to make the ground more suitable for 
pinkie,pinky,unrelated,name,,,2,,2.86,3.39,,,noun:4,noun:6;adj:2,PROPN:1,,"A little finger, the finger furthest on a hand from the thumb.",Methylated spirits mixed with red wine or Condy's crystals.
equaliser,equalizer,variant,,,,1,,2.86,2.97,,,noun:1,noun:11,,,Non-Oxford British English standard spelling of equalizer.,One who makes equal; a balancer.
geezer,geyser,unrelated,,,,2,,2.86,2.8,,,noun:6,noun:4;verb:1,,,A male person.,"A boiling natural spring which throws forth jets of water, mud, etc., "
dike,dyke,reverse,,name,,1,,2.85,3.37,,,noun:5;verb:3,noun:21;verb:6,,PROPN:1,US standard spelling of dyke.,An earthwork raised to prevent inundation of low land by the sea or fl
paedophile,pedophile,variant,,,,1,,2.85,3.3,,,noun:1,noun:3,,,Commonwealth standard spelling of pedophile.,An adult or older adolescent who is sexually attracted to prepubescent
pollack,pollock,variant,,name,,1,,2.85,3.23,,,noun:1;verb:1,noun:2;verb:2,,PROPN:8,Alternative spelling of pollock.,"Either of two lean, white marine food fishes, of the genus Pollachius,"
hakeem,hakim,variant,,,,2,,2.85,2.84,,,noun:1,noun:2,,,Archaic form of hakim.,"A doctor, usually practicing traditional medicine."
gaol,jail,variant,,,,2,,2.84,4.62,,,noun:1;verb:1,noun:5;verb:1,,NOUN:29,Dated spelling of jail.,A place or institution for the confinement of persons held against the
holler,hollow,unrelated,,adj,,2,,2.84,3.95,,,noun:4;verb:3;adj:1,adj:7;noun:4;verb:2;,,ADJ:14,"A yell, shout.",A small valley between mountains.
hock,hawk,unrelated,,,,2,,2.84,3.81,,,noun:10;verb:4,noun:8;verb:5,,NOUN:15,"A Rhenish wine, of a light yellow color, either sparkling or still, fr","A diurnal predatory bird of the family Accipitridae, smaller than an e"
buss,bus,plural,,,,1,variant,2.83,4.83,,,noun:5;verb:3,noun:8;verb:5,NOUN:1,NOUN:37,A kiss.,A motor vehicle for transporting large numbers of people along roads.
tux,tuxedo,unrelated,,,,3,,2.83,3.11,,,noun:1,noun:3,,,Clipping of tuxedo,A typically black formal jacket worn by men.
enquirer,inquirer,variant,name,name,,1,,2.83,2.97,,,noun:1,noun:1,PROPN:1,PROPN:13,Alternative form of inquirer.,One who inquires.
juke,jukebox,unrelated,,,,3,,2.82,3.02,,,verb:9;noun:5,noun:4;verb:4,NOUN:2,,"A roadside cafe or bar, especially one with dancing and sometimes pros","A coin-operated machine that plays recorded music, with push-buttons t"
nim,neem,unrelated,,,,2,,2.82,2.43,,,verb:3;noun:2,noun:1,,,A game in which players take turns removing objects from heaps.,"Azadirachta indica, a large, mostly evergreen tree from India, whose s"
gat,khat,unrelated,,,,2,,2.82,2.22,,,noun:7;verb:2,noun:1,,,A Gatling gun.,"A shrub, Catha edulis, whose leaves are used as a mild stimulant when "
halter,haltere,unrelated,,,,1,,2.82,0.0,,,noun:5;verb:1,noun:1,NOUN:1,,"A bitless headpiece of rope or straps, placed on the head of animals s","A small knobbed structure in some two-winged insects, one of a pair th"
gripe,grip,unrelated,,,,1,,2.81,4.11,,,noun:9;verb:7,noun:18;verb:5,,NOUN:26,"A complaint, often a petty or trivial one.","A hold or way of holding, particularly with the hand."
burg,burger,unrelated,,name,,2,,2.81,4.07,,,noun:4,noun:6,,PROPN:6,A city or town.,A hamburger.
daemon,demon,variant,,,,1,,2.81,4.06,,,noun:5,noun:14,,NOUN:9,A minor deity or divinity.,An evil supernatural being.
canvass,canvas,plural,,,,1,variant,2.81,3.96,,,verb:11;noun:6,noun:10;verb:2,NOUN:3,NOUN:19,"A seeking or solicitation of donations, information, opinions, support","A type of coarse cloth, woven from hemp (traditionally) or from cotton"
encyclopaedia,encyclopedia,variant,,,,1,,2.81,3.52,,,noun:1,noun:3,,NOUN:1,Commonwealth standard spelling of encyclopedia.,A comprehensive reference work (often spanning several printed volumes
savoury,savory,variant,,,,1,,2.81,3.0,,,adj:1;noun:1,adj:4;noun:3,,ADJ:4,Alternative form of savory.,A savory snack.
brahman,brahmin,variant,,,,1,,2.81,2.81,,,noun:1,noun:5;adj:1,,,Alternative form of brahmin (member of the Hindu priestly class).,"A member of the Hindu priestly caste, one of the four varnas or social"
girdle,griddle,unrelated,,,,2,,2.81,2.52,,,noun:8;verb:2,noun:1;verb:1,NOUN:2,,"That which girds, encircles, or encloses; a circumference.",A stone or metal flat plate or surface on which food is fried or baked
haji,hajji,variant,,,,1,,2.81,2.16,,,noun:1,noun:3,,,Alternative spelling of hajji.,A Muslim who has participated in a hajj.
crick,creek,unrelated,,,,2,,2.8,4.37,,,noun:4;verb:4,noun:4,,NOUN:19,"A painful stiffness in some part of the body, like the neck or back, w","A small inlet, often saltwater, leading to the sea or to the main chan"
cypher,cipher,variant,,name,,1,,2.8,3.12,,,noun:1;verb:1,noun:12;verb:4,,PROPN:5,Alternative spelling of cipher.,A numeric character.
hearse,hearst,unrelated,,name,,1,,2.8,3.06,,,noun:5;verb:1,noun:1,NOUN:1,PROPN:61,A framework of wood or metal placed over the coffin or tomb of a decea,A hind in her second or third year.
filet,fillet,variant,,,,1,,2.8,2.97,,,noun:1;verb:1,noun:15;verb:2,,,Alternative spelling of fillet.,"A headband; a ribbon or other band used to tie the hair up, or keep a "
amphitheater,amphitheatre,reverse,,,,2,,2.8,2.84,,,noun:1,noun:2,NOUN:1,,American form of amphitheatre.,"An open, outdoor theatre (which may be a theatre in the round, or have"
lido,lidocaine,unrelated,name,name,,4,,2.79,2.54,,,noun:3,noun:1,PROPN:1,,Part of the sea by a beach sectioned off for swimming and other aquati,"A crystalline compound, C₁₄H₂₂N₂O, that is used in the form of its hyd"
wether,weather,unrelated,,,,1,,2.78,4.87,,,noun:3;verb:1,verb:8;noun:6;adj:1,,NOUN:79,A castrated goat.,"The short-term state of the atmosphere at a specific time and place, i"
mediaeval,medieval,variant,,adj,,1,,2.78,4.05,ADJ,ADJ,adj:1;noun:1,adj:3;noun:2,,ADJ:18,Alternative spelling of medieval.,Someone living in the Middle Ages.
foetus,fetus,variant,,,,1,,2.78,3.6,,,noun:1,noun:3,,,Alternative spelling of fetus.,An unborn or unhatched vertebrate showing signs of the mature animal.
kor,cor,variant,,,,1,,2.78,3.32,,,noun:1,noun:3;intj:1,,,Alternative form of cor: a former Hebrew and Phoenician unit of volume,Any of various former units of volume
pamper,pampers,plural,,name,,1,canonical,2.78,2.39,VERB,VERB,verb:3;noun:1,noun:1;verb:1,VERB:1,PROPN:1,Alternative form of pampers.,"A diaper or nappy (an absorbent garment worn by a baby, or by someone "
favoritism,favouritism,reverse,,,,1,,2.78,2.32,,,noun:1,noun:1,NOUN:4,,Alternative spelling of favouritism.,The unfair favouring of one person or group at the expense of another.
archeology,archaeology,reverse,,,,1,,2.77,3.57,,,noun:1,noun:4,,NOUN:11,Uncommon spelling of archaeology.,The study of the past by excavation and analysis of its material remai
lino,linoleum,unrelated,,,,4,,2.77,2.61,,,noun:2,noun:1,,NOUN:1,Clipping of linoleum.,"An inexpensive waterproof covering used especially for floors, made fr"
neb,nebulizer,unrelated,,,,4,,2.77,2.01,,,noun:8,noun:2,,,A bird's beak.,"A device used to convert liquid into a fine spray of aerosols, by mean"
posit,position,unrelated,,,,3,,2.76,5.21,,,noun:3;verb:3,noun:13;verb:1,,NOUN:314,Something that is posited; a postulate.,A place or location.
leukaemia,leukemia,variant,,,,1,,2.76,3.46,,,noun:1,noun:1,,NOUN:4,Alternative spelling of leukemia.,"Any of a class of types of cancer affecting the blood cells, especiall"
ruck,roc,unrelated,,,,2,,2.76,3.31,,,noun:12;verb:6,noun:2,,,"A throng or crowd of people or things; a mass, a pack.",An enormous mythical bird in Eastern legend.
guile,gold,unrelated,,,,3,,2.75,5.17,,,noun:4;verb:1,noun:7;adj:6;adv:1;s,NOUN:1,NOUN:130,Astuteness often marked by a certain sense of cunning or artful decept,"A heavy yellow elemental metal of great value, with atomic number 79."
loin,lion,unrelated,,,,2,,2.75,4.25,,,noun:3,noun:8;adj:1,NOUN:1,NOUN:20,The part of the body (of humans and quadrupeds) at each side of the ba,"A big cat, Panthera leo, native to Africa, India and formerly much of "
bur,burr,unrelated,,name,,1,,2.75,3.36,,,noun:4,noun:14;verb:3,,PROPN:7,"A rough, prickly husk around the seeds or fruit of some plants.","A sharp, pointy object, such as a sliver or splinter."
homey,homie,variant,,,,2,,2.75,3.26,ADJ,,adj:1;noun:1,noun:4,,,Alternative form of homie.,"Someone, particularly a friend or male acquaintance, from one's hometo"
fervour,fervor,variant,,,,1,,2.75,3.05,,,noun:1,noun:3,,NOUN:4,Commonwealth and Ireland standard spelling of fervor.,"An intense, heated emotion; passion, ardor."
signor,signore,variant,name,name,,1,,2.75,2.19,,,noun:1,noun:1,PROPN:2,PROPN:2,"Alternative form of signore, a courtesy title used towards an Italian ",A courtesy title for Italian men.
pix,pyx,unrelated,,,,1,,2.75,1.54,,,noun:3;verb:1,noun:4;verb:3,,,plural of pic (“picture”),"A small, usually round container used to hold the host (“consecrated b"
twit,twitter,unrelated,,,,3,,2.74,4.83,,,noun:6;verb:6;intj:1,noun:6;verb:6,,,"A jibe, reproach, or taunt, especially one made in a good-natured or t",The sound of a succession of chirps as uttered by birds.
soya,soy,variant,,,,1,,2.74,3.63,,,noun:1,noun:3;adj:1;verb:1,,NOUN:2,Alternative form of soy.,"A common East Asian liquid sauce, made by subjecting boiled beans to l"
aether,ether,variant,,,,1,,2.74,3.4,,,noun:1,noun:9;verb:2,,OTHER:1,Alternative spelling of ether.,The substance formerly supposed to fill the upper regions of the atmos
haemorrhage,hemorrhage,variant,,,,1,,2.74,3.1,,,noun:1;verb:1,noun:2;verb:2,,NOUN:5,British standard spelling of hemorrhage.,A heavy release of blood within or from the body.
woollen,woolen,variant,,,,1,,2.74,2.7,,,adj:1;noun:1,adj:2;noun:1,,NOUN:4,Alternative spelling of woolen.,An item of clothing made from wool.
feller,fellow,unrelated,,,,2,,2.73,4.76,,,noun:5;adj:1,noun:31;verb:7,NOUN:1,NOUN:75,A person who fells trees; a lumberjack,A companion; a comrade.
adaption,adaptation,variant,,,,2,,2.73,4.01,,,noun:1,noun:8,,NOUN:10,Alternative form of adaptation.,The process of adapting something or becoming adapted to a situation; 
optimisation,optimization,variant,,,,1,,2.73,3.66,,,noun:1,noun:2,,NOUN:1,Alternative spelling of optimization.,The design and operation of a system or process to make it as good as 
bennie,benny,variant,,name,,2,,2.73,3.6,,,noun:1,noun:7;verb:1,,PROPN:5,Alternative form of benny.,An amphetamine tablet.
cay,quay,unrelated,,,,2,,2.73,3.26,,,noun:2,adj:1;adv:1;noun:1;v,,,"A small, low island largely made of sand or coral.",A stone or concrete structure on navigable water used for loading and 
pretence,pretense,variant,,,,1,,2.73,3.01,,,noun:1,noun:6,NOUN:4,NOUN:6,British standard spelling of pretense.,The action of pretending; false or simulated show or appearance; false
scepter,sceptre,reverse,,,,2,,2.73,2.61,,,noun:1;verb:1,verb:2;noun:1,,,American and archaic form of sceptre.,An ornamental staff held by a ruling monarch as a symbol of power.
boarder,skateboarder,unrelated,,,,4,,2.73,2.43,,,noun:8,noun:1,NOUN:1,,A pupil who lives at school during term time.,A person who rides a skateboard.
lye,lie,unrelated,,,,1,,2.72,4.84,,,noun:4;verb:2,verb:12;noun:9,,VERB:62,An alkaline liquid made by leaching ashes (usually wood ashes).,The terrain and conditions surrounding the ball before it is struck.
mettle,metal,unrelated,,,,2,,2.72,4.82,,,noun:3;adj:1,noun:13;adj:2;verb:1,NOUN:3,NOUN:73,A quality of courage and endurance.,"Chemical elements or alloys, their ores, and the mines where their ore"
faerie,fairy,variant,,,,3,,2.72,4.08,,,noun:2,noun:10;adj:1,,NOUN:4,Archaic spelling of fairy.,"A mythical being of human form with magical powers, known in many size"
colonisation,colonization,variant,,,,1,,2.72,3.36,,,noun:1,noun:2,,,Alternative spelling of colonization.,The process of establishing a colony.
roan,rowan,unrelated,,,,1,,2.72,3.32,,,noun:4;adj:2,noun:6,,,An animal (such as a horse) that has a coat of a dark base color with ,"Sorbus aucuparia, the European rowan."
anaesthesia,anesthesia,variant,,,,1,,2.71,3.39,,,noun:1,noun:3,NOUN:1,,Alternative spelling of anesthesia.,"An artificial method of preventing sensation, used to eliminate pain w"
faeces,feces,variant,,,,1,,2.71,3.22,,,noun:1,noun:1,,,Alternative spelling of feces.,Digested waste material (typically solid or semi-solid) discharged fro
jak,jack,variant,,name,,1,,2.7,4.82,,,noun:1,noun:46;verb:9;adj:1,,PROPN:115,Alternative form of jack (“the tree Mangifera caesia”).,"A coarse medieval coat of defence, especially one made of leather."
