variant,canonical,verdict,variant_verdict,canonical_verdict,note,dist,plural_side,v_zipf,c_zipf,v_pos,c_pos,v_wikt,c_wikt,v_corpus,c_corpus,v_gloss,c_gloss
dichromasy,dichromacy,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of dichromacy.,The quality of having two independent channels for conveying color inf
dicumarol,dicoumarol,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of dicoumarol.,"An anticoagulant that functions as a vitamin K antagonist, also used i"
dissyllable,disyllable,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of disyllable.,A word comprising two syllables.
dkg,dekagram,unrelated,,,,4,,0.0,0.0,,,noun:1,noun:1,,,decagram; Abbreviation of dekagram; Alternative form of dag; A unit of,Alternative form of decagram.
draughtswoman,draftswoman,variant,,,,3,,0.0,0.0,,,noun:1,noun:2,,,Alternative spelling of draftswoman.,A woman employed in making drawings.
drosky,droshky,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of droshky.,"An open horse-drawn carriage, especially in Russia."
enanthema,enanthem,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of enanthem.,A lesion of the mucous membrane (especially of the mouth)
encyclopaedism,encyclopedism,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of encyclopedism.,Encyclopedic knowledge or learning.
entoparasite,endoparasite,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of endoparasite.,"A parasite that lives inside the body of an organism, such as a tapewo"
epigon,epigone,variant,,,,1,,0.0,0.0,,,noun:1,noun:2,,,Alternative form of epigone.,A follower or disciple.
eringo,eryngo,variant,,,,1,,0.0,0.0,,,noun:1,noun:2,,,Alternative spelling of eryngo.,"The root of sea holly, Eryngium maritimum, formerly candied and taken "
essonite,hessonite,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,"Alternative spelling of hessonite (“Cinnamon stone, a variety of garne","An orange, cinnamon, or pinkish garnet."
esthesia,aesthesia,reverse,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of aesthesia.,The ability to perceive sensations.
etamin,etamine,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of etamine.,A soft cotton or worsted fabric with an open mesh.
eudemon,eudaemon,reverse,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of eudaemon.,A good or benevolent spirit.
euglenoid,euglenid,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of euglenid.,A kind of flagellate distinguished mainly by the presence of a pellicl
eupnoea,eupnea,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of eupnea.,"Normal, relaxed breathing; healthy condition of inhalation and exhalat"
exanthema,exanthem,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of exanthem.,A widespread rash usually occurring in children.
extemporisation,extemporization,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of extemporization.,The act of extemporizing; the act of doing anything extempore.
fasciolosis,fascioliasis,variant,,,,2,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of fascioliasis.,infestation with liver flukes (of genus Fasciola)
fatism,fattism,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of fattism.,Discrimination on the grounds of fatness.
favorableness,favourableness,reverse,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of favourableness.,The state or condition of being favourable.
femtometer,femtometre,reverse,,,,2,,0.0,0.0,,,noun:1,noun:1,,,US spelling of femtometre.,An SI unit of length equal to 10⁻¹⁵ metres. Symbol: fm
fizgig,fishgig,unrelated,,,,2,,0.0,0.0,,,noun:6;verb:2,noun:1,,,"A flirtatious, coquettish girl, inclined to gad or gallivant about; a ","A spear with a barb on the end of it, used for catching fish, frogs, o"
flavourer,flavorer,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,British standard spelling of flavorer.,One who or that which flavors.
flavourlessness,flavorlessness,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of flavorlessness.,The state or condition of being flavorless; lack of flavor.
flavoursomeness,flavorsomeness,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of flavorsomeness.,The quality of being flavorsome.
flindosa,flindosy,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of flindosy.,Synonym of crow's ash.
focalisation,focalization,variant,,,,1,,0.0,0.0,,,noun:1,noun:2,,,Alternative form of focalization.,The perspective through which a narrative is presented.
foetology,fetology,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of fetology.,The scientific study of fetuses.
foetometry,fetometry,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of fetometry.,"The measurement of a fetus, typically by X-ray examination"
foetoscope,fetoscope,variant,,,,1,,0.0,0.0,,,noun:1,noun:2,,,Alternative spelling of fetoscope.,A flexible fibreoptic device used to view a foetus in the womb.
foetoscopy,fetoscopy,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of fetoscopy.,"An endoscopic procedure during pregnancy to allow access to the fetus,"
foulmart,foumart,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of foumart.,A European polecat; a member of the Mustelidae family.
framboesia,frambesia,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,NOUN:1,Alternative form of frambesia.,"Yaws, the disease."
frijole,frijol,variant,,,,1,,0.0,0.0,,,noun:1,noun:2,,,Alternative form of frijol.,"Any cultivated bean of the genus Phaseolus, especially the black seed "
galvaniser,galvanizer,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of galvanizer.,"One who, or that which, galvanizes."
ganof,ganef,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of ganef.,A thief; a rascal or scoundrel.
ganoin,ganoine,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of ganoine.,"A glassy, often multi-layered mineralized tissue that covers the scale"
garrotter,garroter,variant,,,,1,,0.0,0.0,,,noun:1,noun:2,,,Alternative form of garroter.,A person who uses a garrote.
girandola,girandole,variant,,,,1,,0.0,0.0,,,noun:1,noun:2,,,Alternative form of girandole.,"An ornamental branched candle holder, sometimes with a mirror behind."
gluiness,glueyness,variant,,,,2,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of glueyness.,The quality of being gluey; stickiness; viscidity.
golosh,galosh,variant,,,,1,,0.0,0.0,,,noun:1,noun:3;verb:1,,,Alternative spelling of galosh.,An overshoe or boot worn in wet weather:
gonif,ganef,variant,,,,2,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of ganef.,A thief; a rascal or scoundrel.
goniff,ganef,variant,,,,3,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of ganef.,A thief; a rascal or scoundrel.
gospeller,gospeler,variant,,,,1,,0.0,0.0,,,noun:1,noun:3,,,Alternative spelling of gospeler.,A person who preaches from the Gospels
groveller,groveler,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,British standard spelling of groveler.,A person who grovels.
gyrostabiliser,gyrostabilizer,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of gyrostabilizer.,A device for stabilizing using a gyroscope.
haematin,hematin,variant,,,,1,,0.0,0.0,,,noun:1,noun:2,,,Alternative spelling of hematin.,Hemoglobin with iron in ferric state.
haematinic,hematinic,variant,,,,1,,0.0,0.0,,,adj:1;noun:1,adj:2;noun:1,,,Alternative form of hematinic.,Any substance that has a hematinic (adjective sense 1) effect.
haematocele,hematocele,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of hematocele.,"A swelling caused by the collection of blood in a cavity, especially o"
